Source,Target,Type,Weight
1,2,Undirected,591
1,3,Undirected,117
1,4,Undirected,96
1,5,Undirected,125
1,6,Undirected,15
1,7,Undirected,12
1,8,Undirected,223
1,9,Undirected,7
1,10,Undirected,292
1,11,Undirected,140
1,12,Undirected,185
1,13,Undirected,136
1,14,Undirected,93
1,15,Undirected,159
1,16,Undirected,92
1,17,Undirected,49
1,18,Undirected,49
1,19,Undirected,3
1,20,Undirected,66
1,21,Undirected,11
1,22,Undirected,50
1,23,Undirected,4
1,24,Undirected,114
1,25,Undirected,1
1,26,Undirected,0
1,27,Undirected,7
1,28,Undirected,174
1,29,Undirected,0
1,30,Undirected,6
1,31,Undirected,7
1,32,Undirected,25
1,33,Undirected,1
1,34,Undirected,0
1,35,Undirected,13
1,36,Undirected,16
1,37,Undirected,0
1,38,Undirected,0
1,39,Undirected,0
1,40,Undirected,0
1,41,Undirected,5
1,42,Undirected,15
1,43,Undirected,8
2,3,Undirected,151
2,4,Undirected,29
2,5,Undirected,196
2,6,Undirected,93
2,7,Undirected,32
2,8,Undirected,134
2,9,Undirected,51
2,10,Undirected,172
2,11,Undirected,139
2,12,Undirected,53
2,13,Undirected,31
2,14,Undirected,19
2,15,Undirected,48
2,16,Undirected,103
2,17,Undirected,30
2,18,Undirected,102
2,19,Undirected,14
2,20,Undirected,83
2,21,Undirected,38
2,22,Undirected,26
2,23,Undirected,21
2,24,Undirected,189
2,25,Undirected,13
2,26,Undirected,0
2,27,Undirected,6
2,28,Undirected,92
2,29,Undirected,2
2,30,Undirected,0
2,31,Undirected,3
2,32,Undirected,18
2,33,Undirected,0
2,34,Undirected,0
2,35,Undirected,14
2,36,Undirected,1
2,37,Undirected,1
2,38,Undirected,1
2,39,Undirected,1
2,40,Undirected,0
2,41,Undirected,39
2,42,Undirected,8
2,43,Undirected,7
3,4,Undirected,100
3,5,Undirected,306
3,6,Undirected,10
3,7,Undirected,2
3,8,Undirected,43
3,9,Undirected,10
3,10,Undirected,25
3,11,Undirected,87
3,12,Undirected,43
3,13,Undirected,111
3,14,Undirected,16
3,15,Undirected,32
3,16,Undirected,84
3,17,Undirected,43
3,18,Undirected,229
3,19,Undirected,1
3,20,Undirected,151
3,21,Undirected,3
3,22,Undirected,1
3,23,Undirected,22
3,24,Undirected,55
3,25,Undirected,1
3,26,Undirected,0
